"unix_timestamp","human_timestamp","nodeID","tc1","tc2","millisSinceHeatPulse"
"1535764805","9/1/2018 1:20:5","4","21.89844","21.80469","672000"
"1535764808","9/1/2018 1:20:8","4","21.85156","21.82813","674999"
"1535764811","9/1/2018 1:20:11","4","21.89063","21.78906","678000"
"1535764814","9/1/2018 1:20:14","4","21.82813","21.8125","680999"
"1535764817","9/1/2018 1:20:17","4","21.74219","21.85156","683999"
"1535764820","9/1/2018 1:20:20","4","21.89063","21.73438","686999"
"1535764823","9/1/2018 1:20:23","4","21.92188","21.78125","690000"
"1535764826","9/1/2018 1:20:26","4","21.84375","21.78125","692999"
"1535764829","9/1/2018 1:20:29","4","21.78125","21.82813","695999"
"1535764832","9/1/2018 1:20:32","4","21.89063","21.8125","699000"
"1535764835","9/1/2018 1:20:35","4","21.80469","21.78125","701999"
"1535764838","9/1/2018 1:20:38","4","21.8125","21.8125","704999"
"1535764841","9/1/2018 1:20:41","4","21.78125","21.82813","708000"
"1535764844","9/1/2018 1:20:44","4","21.84375","21.78906","711000"
"1535764847","9/1/2018 1:20:47","4","21.78906","21.78906","714000"
"1535764850","9/1/2018 1:20:50","4","21.84375","21.80469","716999"
"1535764853","9/1/2018 1:20:53","4","21.82813","21.74219","720000"
"1535764856","9/1/2018 1:20:56","4","21.82813","21.64844","722999"
"1535764859","9/1/2018 1:20:59","4","21.84375","21.70313","726000"
"1535764862","9/1/2018 1:21:2","4","21.78906","21.74219","729000"
"1535764865","9/1/2018 1:21:5","4","21.85156","21.76563","732000"
"1535764868","9/1/2018 1:21:8","4","21.84375","21.74219","734999"
"1535764871","9/1/2018 1:21:11","4","21.78906","21.74219","738000"
"1535764874","9/1/2018 1:21:14","4","21.82813","21.74219","741000"
"1535764877","9/1/2018 1:21:17","4","21.8125","21.75781","744000"
"1535764880","9/1/2018 1:21:20","4","21.78125","21.78125","747000"
"1535764883","9/1/2018 1:21:23","4","21.76563","21.78125","749999"
"1535764886","9/1/2018 1:21:26","4","21.84375","21.76563","753000"
"1535764889","9/1/2018 1:21:29","4","21.78125","21.69531","755999"
"1535764892","9/1/2018 1:21:32","4","21.78906","21.75781","759000"
"1535764895","9/1/2018 1:21:35","4","21.82813","21.8125","761999"
"1535764898","9/1/2018 1:21:38","4","21.85156","21.71875","764999"
"1535764901","9/1/2018 1:21:41","4","21.75781","21.71875","767999"
"1535764904","9/1/2018 1:21:44","4","21.8125","21.76563","771000"
"1535764907","9/1/2018 1:21:47","4","21.8125","21.73438","774000"
"1535764910","9/1/2018 1:21:50","4","21.73438","21.78125","777000"
"1535764913","9/1/2018 1:21:53","4","21.8125","21.74219","780000"
"1535764916","9/1/2018 1:21:56","4","21.78125","21.78125","783000"
"1535764919","9/1/2018 1:21:59","4","21.73438","21.70313","786000"
"1535764922","9/1/2018 1:22:2","4","21.70313","21.70313","789000"
"1535764925","9/1/2018 1:22:5","4","21.78125","21.70313","792000"
"1535764928","9/1/2018 1:22:8","4","21.69531","21.70313","795000"
"1535764931","9/1/2018 1:22:11","4","21.67969","21.65625","798000"
"1535764934","9/1/2018 1:22:14","4","21.70313","21.67969","800999"
"1535764937","9/1/2018 1:22:17","4","21.67969","21.65625","803999"
"1535764940","9/1/2018 1:22:20","4","21.70313","21.67969","806999"
"1535764943","9/1/2018 1:22:23","4","21.69531","21.64844","810000"
"1535764946","9/1/2018 1:22:26","4","21.74219","21.60938","813000"
"1535764949","9/1/2018 1:22:29","4","21.70313","21.65625","815999"
"1535764952","9/1/2018 1:22:32","4","21.71875","21.64844","819000"
"1535764955","9/1/2018 1:22:35","4","21.61719","21.57813","822000"
"1535764958","9/1/2018 1:22:38","4","21.73438","21.70313","825000"
"1535764961","9/1/2018 1:22:41","4","21.75781","21.61719","827999"
"1535764964","9/1/2018 1:22:44","4","21.73438","21.65625","830999"
"1535764967","9/1/2018 1:22:47","4","21.67188","21.69531","834000"
"1535764970","9/1/2018 1:22:50","4","21.61719","21.5625","836999"
"1535764973","9/1/2018 1:22:53","4","21.64844","21.64844","840000"
"1535764976","9/1/2018 1:22:56","4","21.70313","21.69531","843000"
"1535764979","9/1/2018 1:22:59","4","21.69531","21.60938","846000"
"1535764982","9/1/2018 1:23:2","4","21.64844","21.70313","848999"
"1535764985","9/1/2018 1:23:5","4","21.65625","21.64844","852000"
"1535764988","9/1/2018 1:23:8","4","21.64844","21.63281","854999"
"1535764991","9/1/2018 1:23:11","4","21.70313","21.64844","857999"
"1535764994","9/1/2018 1:23:14","4","21.61719","21.61719","861000"
"1535764997","9/1/2018 1:23:17","4","21.67188","21.58594","864000"
"1535765000","9/1/2018 1:23:20","4","21.53906","21.67969","866999"
"1535765003","9/1/2018 1:23:23","4","21.65625","21.57813","869999"
"1535765006","9/1/2018 1:23:26","4","21.65625","21.67188","872999"
"1535765009","9/1/2018 1:23:29","4","21.57813","21.60156","875999"
"1535765012","9/1/2018 1:23:32","4","21.65625","21.60938","878999"
"1535765015","9/1/2018 1:23:35","4","21.64844","21.57813","882000"
"1535765018","9/1/2018 1:23:38","4","21.64844","21.5625","885000"
"1535765021","9/1/2018 1:23:41","4","21.69531","21.71875","887999"
"1535765024","9/1/2018 1:23:44","4","21.61719","21.63281","891000"
"1535765027","9/1/2018 1:23:47","4","21.63281","21.57813","894000"
"1535765030","9/1/2018 1:23:50","4","21.67969","21.57813","896999"
"1535765033","9/1/2018 1:23:53","4","21.65625","21.64844","900000"
"1535765036","9/1/2018 1:23:56","4","21.61719","21.64844","902999"
"1535765039","9/1/2018 1:23:59","4","21.65625","21.57813","906000"
"1535765042","9/1/2018 1:24:2","4","21.60938","21.60156","909000"
"1535765045","9/1/2018 1:24:5","4","21.61719","21.60938","912000"
"1535765048","9/1/2018 1:24:8","4","21.60938","21.60938","915000"
"1535765051","9/1/2018 1:24:11","4","21.60938","21.60156","918000"
"1535765054","9/1/2018 1:24:14","4","21.67188","21.51563","921000"
"1535765057","9/1/2018 1:24:17","4","21.61719","21.5","924000"
"1535765060","9/1/2018 1:24:20","4","21.63281","21.53906","926999"
"1535765063","9/1/2018 1:24:23","4","21.60156","21.55469","930000"
"1535765066","9/1/2018 1:24:26","4","21.55469","21.52344","933000"
"1535765069","9/1/2018 1:24:29","4","21.61719","21.49219","935999"
"1535765072","9/1/2018 1:24:32","4","21.55469","21.55469","938999"
"1535765075","9/1/2018 1:24:35","4","21.55469","21.55469","941999"
"1535765078","9/1/2018 1:24:38","4","21.60938","21.52344","945000"
"1535765081","9/1/2018 1:24:41","4","21.5625","21.55469","947999"
"1535765084","9/1/2018 1:24:44","4","21.64844","21.52344","950999"
"1535765087","9/1/2018 1:24:47","4","21.57813","21.47656","954000"
"1535765090","9/1/2018 1:24:50","4","21.61719","21.55469","957000"
"1535765093","9/1/2018 1:24:53","4","21.60156","21.52344","959999"
"1535765096","9/1/2018 1:24:56","4","21.55469","21.4375","963000"
"1535765099","9/1/2018 1:24:59","4","21.60156","21.60156","966000"
"1535765102","9/1/2018 1:25:2","4","21.52344","21.51563","969000"
"1535765105","9/1/2018 1:25:5","4","21.57813","21.51563","971999"
"1535765108","9/1/2018 1:25:8","4","21.5625","21.52344","975000"
"1535765111","9/1/2018 1:25:11","4","21.53906","21.42969","977999"
"1535765114","9/1/2018 1:25:14","4","21.55469","21.49219","980999"
"1535765117","9/1/2018 1:25:17","4","21.49219","21.4375","983999"
"1535765120","9/1/2018 1:25:20","4","21.5","21.4375","987000"
"1535765123","9/1/2018 1:25:23","4","21.55469","21.5","989999"
"1535765126","9/1/2018 1:25:26","4","21.45313","21.47656","992999"
"1535765129","9/1/2018 1:25:29","4","21.55469","21.41406","996000"
"1535765132","9/1/2018 1:25:32","4","21.5625","21.49219","999000"
"1535765135","9/1/2018 1:25:35","4","21.52344","21.4375","1001999"
"1535765138","9/1/2018 1:25:38","4","21.49219","21.46875","1005000"
"1535765141","9/1/2018 1:25:41","4","21.46875","21.45313","1008000"
"1535765144","9/1/2018 1:25:44","4","21.45313","21.47656","1011000"
"1535765147","9/1/2018 1:25:47","4","21.51563","21.46875","1014000"
"1535765150","9/1/2018 1:25:50","4","21.4375","21.40625","1017000"
"1535765153","9/1/2018 1:25:53","4","21.46875","21.47656","1020000"
"1535765156","9/1/2018 1:25:56","4","21.45313","21.5","1023000"
"1535765159","9/1/2018 1:25:59","4","21.41406","21.4375","1025999"
"1535765162","9/1/2018 1:26:2","4","21.45313","21.40625","1029000"
"1535765165","9/1/2018 1:26:5","4","21.52344","21.40625","1032000"
"1535765168","9/1/2018 1:26:8","4","21.47656","21.38281","1035000"
"1535765171","9/1/2018 1:26:11","4","21.42969","21.40625","1037999"
"1535765174","9/1/2018 1:26:14","4","21.41406","21.36719","1040999"
"1535765177","9/1/2018 1:26:17","4","21.39063","21.36719","1044000"
"1535765180","9/1/2018 1:26:20","4","21.32813","21.38281","1046999"
"1535765183","9/1/2018 1:26:23","4","21.40625","21.42969","1050000"
"1535765186","9/1/2018 1:26:26","4","21.45313","21.39063","1052999"
"1535765189","9/1/2018 1:26:29","4","21.47656","21.39063","1056000"
"1535765192","9/1/2018 1:26:32","4","21.39063","21.32813","1058999"
"1535765195","9/1/2018 1:26:35","4","21.49219","21.41406","1061999"
"1535765198","9/1/2018 1:26:38","4","21.38281","21.34375","1065000"
"1535765201","9/1/2018 1:26:41","4","21.46875","21.36719","1067999"
"1535765204","9/1/2018 1:26:44","4","21.46875","21.41406","1071000"
"1535765207","9/1/2018 1:26:47","4","21.36719","21.40625","1073999"
"1535765210","9/1/2018 1:26:50","4","21.35938","21.36719","1077000"
"1535765213","9/1/2018 1:26:53","4","21.35938","21.32813","1080000"
"1535765216","9/1/2018 1:26:56","4","21.4375","21.39063","1082999"
"1535765219","9/1/2018 1:26:59","4","21.38281","21.36719","1086000"
"1535765222","9/1/2018 1:27:2","4","21.39063","21.45313","1089000"
"1535765225","9/1/2018 1:27:5","4","21.40625","21.39063","1091999"
"1535765228","9/1/2018 1:27:8","4","21.39063","21.36719","1095000"
"1535765231","9/1/2018 1:27:11","4","21.40625","21.34375","1097999"
